timestamp,experiment_id,dataset,model,model_type,input_type,input_len,horizon,seed,num_features,total_parameters,trainable_parameters,epochs_requested,epochs_ran,best_epoch,best_val_loss,stopped_early,mae,rmse,wape,checkpoint_path,metrics_path,predictions_path,config_path
2026-07-01T21:16:30.474572+00:00,ETTh2_nlinear_multivariate_len96_h24_seed3407,ETTh2,nlinear,linear,multivariate,96,24,3407,7,16152,16152,100,44,34,0.07122681360650444,True,2.80414080619812,3.9313092686683873,10.548556327819824,results/checkpoints/ETTh2_nlinear_multivariate_len96_h24_seed3407_best.pt,results/metrics/ETTh2_nlinear_multivariate_len96_h24_seed3407_metrics.json,results/predictions/ETTh2_nlinear_multivariate_len96_h24_seed3407_predictions.csv,results/logs/ETTh2_nlinear_multivariate_len96_h24_seed3407_config.yaml
2026-07-01T21:16:44.055583+00:00,ETTh2_dlinear_multivariate_len96_h24_seed3407,ETTh2,dlinear,linear,multivariate,96,24,3407,7,32304,32304,100,26,16,0.07221358378777228,True,2.9349398612976074,4.045998025377954,11.040593147277832,results/checkpoints/ETTh2_dlinear_multivariate_len96_h24_seed3407_best.pt,results/metrics/ETTh2_dlinear_multivariate_len96_h24_seed3407_metrics.json,results/predictions/ETTh2_dlinear_multivariate_len96_h24_seed3407_predictions.csv,results/logs/ETTh2_dlinear_multivariate_len96_h24_seed3407_config.yaml
2026-07-01T21:16:44.706854+00:00,ETTh2_naive_multivariate_len96_h48_seed42,ETTh2,naive,baseline,multivariate,96,48,42,7,0,0,100,0,,,False,5.427020072937012,7.05976855366024,20.40900230407715,,results/metrics/ETTh2_naive_multivariate_len96_h48_seed42_metrics.json,results/predictions/ETTh2_naive_multivariate_len96_h48_seed42_predictions.csv,results/logs/ETTh2_naive_multivariate_len96_h48_seed42_config.yaml
2026-07-01T21:17:11.986115+00:00,ETTh2_linear_multivariate_len96_h48_seed42,ETTh2,linear,linear,multivariate,96,48,42,7,32304,32304,100,48,38,0.10232325795296585,True,3.586449146270752,4.852194826257289,13.487298965454102,results/checkpoints/ETTh2_linear_multivariate_len96_h48_seed42_best.pt,results/metrics/ETTh2_linear_multivariate_len96_h48_seed42_metrics.json,results/predictions/ETTh2_linear_multivariate_len96_h48_seed42_predictions.csv,results/logs/ETTh2_linear_multivariate_len96_h48_seed42_config.yaml
2026-07-01T21:17:35.214245+00:00,ETTh2_nlinear_multivariate_len96_h48_seed42,ETTh2,nlinear,linear,multivariate,96,48,42,7,32304,32304,100,41,31,0.10331701992711376,True,3.647029399871826,4.92590167316616,13.715119361877441,results/checkpoints/ETTh2_nlinear_multivariate_len96_h48_seed42_best.pt,results/metrics/ETTh2_nlinear_multivariate_len96_h48_seed42_metrics.json,results/predictions/ETTh2_nlinear_multivariate_len96_h48_seed42_predictions.csv,results/logs/ETTh2_nlinear_multivariate_len96_h48_seed42_config.yaml
2026-07-01T21:17:54.417479+00:00,ETTh2_dlinear_multivariate_len96_h48_seed42,ETTh2,dlinear,linear,multivariate,96,48,42,7,64608,64608,100,26,16,0.10305110041112715,True,3.6195104122161865,4.859595192584565,13.611631393432617,results/checkpoints/ETTh2_dlinear_multivariate_len96_h48_seed42_best.pt,results/metrics/ETTh2_dlinear_multivariate_len96_h48_seed42_metrics.json,results/predictions/ETTh2_dlinear_multivariate_len96_h48_seed42_predictions.csv,results/logs/ETTh2_dlinear_multivariate_len96_h48_seed42_config.yaml
2026-07-01T21:17:55.117423+00:00,ETTh2_naive_multivariate_len96_h48_seed2024,ETTh2,naive,baseline,multivariate,96,48,2024,7,0,0,100,0,,,False,5.427020072937012,7.05976855366024,20.40900230407715,,results/metrics/ETTh2_naive_multivariate_len96_h48_seed2024_metrics.json,results/predictions/ETTh2_naive_multivariate_len96_h48_seed2024_predictions.csv,results/logs/ETTh2_naive_multivariate_len96_h48_seed2024_config.yaml
2026-07-01T21:18:22.548704+00:00,ETTh2_linear_multivariate_len96_h48_seed2024,ETTh2,linear,linear,multivariate,96,48,2024,7,32304,32304,100,48,38,0.10275625111593473,True,3.647716760635376,4.890287247472583,13.717703819274902,results/checkpoints/ETTh2_linear_multivariate_len96_h48_seed2024_best.pt,results/metrics/ETTh2_linear_multivariate_len96_h48_seed2024_metrics.json,results/predictions/ETTh2_linear_multivariate_len96_h48_seed2024_predictions.csv,results/logs/ETTh2_linear_multivariate_len96_h48_seed2024_config.yaml
2026-07-01T21:18:30.484077+00:00,ETTh2_nlinear_multivariate_len96_h48_seed2024,ETTh2,nlinear,linear,multivariate,96,48,2024,7,32304,32304,100,14,4,0.10537559550269525,True,3.661360502243042,4.9348173942136295,13.769012451171875,results/checkpoints/ETTh2_nlinear_multivariate_len96_h48_seed2024_best.pt,results/metrics/ETTh2_nlinear_multivariate_len96_h48_seed2024_metrics.json,results/predictions/ETTh2_nlinear_multivariate_len96_h48_seed2024_predictions.csv,results/logs/ETTh2_nlinear_multivariate_len96_h48_seed2024_config.yaml
2026-07-01T21:19:01.079331+00:00,ETTh2_dlinear_multivariate_len96_h48_seed2024,ETTh2,dlinear,linear,multivariate,96,48,2024,7,64608,64608,100,41,31,0.10326256530734713,True,3.6356916427612305,4.860271996629981,13.672483444213867,results/checkpoints/ETTh2_dlinear_multivariate_len96_h48_seed2024_best.pt,results/metrics/ETTh2_dlinear_multivariate_len96_h48_seed2024_metrics.json,results/predictions/ETTh2_dlinear_multivariate_len96_h48_seed2024_predictions.csv,results/logs/ETTh2_dlinear_multivariate_len96_h48_seed2024_config.yaml
