dataset,model,horizon,input_type,num_runs,mean_mae,std_mae,mean_rmse,mean_wape,total_parameters,trainable_parameters,mae_per_1k_params,checkpoint_size_mb,mean_epochs_ran
ETTh2,naive,24,univariate,3,4.896778583526611,0.0,6.461150049405872,18.420595169067383,0,0,,,0.0
ETTh2,dlinear,48,multivariate,3,3.6090401808420816,0.03315076379522434,4.852642118019961,13.572256406148275,64608,64608,0.055860577340918795,0.7467254002888998,39.666666666666664
ETTh2,linear,48,multivariate,3,3.629991134007772,0.03792484038439546,4.869303958305281,13.651044209798178,32304,32304,0.11236971068622374,0.3745876948038737,42.666666666666664
ETTh2,nlinear,48,multivariate,3,3.6526923974355063,0.007623524509954228,4.92630166628109,13.73641586303711,32304,32304,0.11307244915290696,0.3746010462443034,23.666666666666668
ETTh2,transformer,48,multivariate,3,4.066950082778931,0.2832335926195533,5.240431624726656,15.29428482055664,70576,70576,0.05762511452588601,0.8686688741048177,13.333333333333334
ETTh2,lstm,48,multivariate,3,4.605604489644368,0.35023046833997046,6.02722945600826,17.31996218363444,55088,55088,0.0836044962540729,0.6444667180379232,14.666666666666666
ETTh2,naive,48,multivariate,3,5.427020072937012,0.0,7.05976855366024,20.40900230407715,0,0,,,0.0
ETTh2,nlinear,48,univariate,3,3.6671314239501953,0.011551313033464993,4.948194028218877,13.790715217590332,4656,4656,0.7876141374463479,0.05816809336344401,28.333333333333332
ETTh2,dlinear,48,univariate,3,3.6922945976257324,0.019540570787855663,4.968551566127785,13.885345141092936,9312,9312,0.3965092995732101,0.11387093861897786,21.0
ETTh2,linear,48,univariate,3,3.725034316380819,0.020442977808088167,5.010090648683734,14.008467038472494,4656,4656,0.8000503256831656,0.05815474192301432,33.333333333333336
ETTh2,naive,48,univariate,3,5.427020072937012,0.0,7.05976855366024,20.40900230407715,0,0,,,0.0
ETTh2,dlinear,96,multivariate,3,4.493000030517578,0.06764922311008212,5.893098491610161,16.864161173502605,129216,129216,0.03477123599645228,1.4861052831013997,18.0
ETTh2,nlinear,96,multivariate,3,4.611613750457764,0.02906502274153674,6.01558831415278,17.309369405110676,64608,64608,0.07137837033274151,0.7442909876505533,25.0
ETTh2,linear,96,multivariate,3,4.647485415140788,0.14035485816145749,6.032636468216961,17.444011052449543,64608,64608,0.07193359050180764,0.7442776362101237,24.333333333333332
ETTh2,transformer,96,multivariate,3,4.776742458343506,0.08842306072984364,6.054534115193211,17.929168701171875,73696,73696,0.06481684838177793,0.9043744405110677,13.333333333333334
