dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,96,first,drift,2024,raw_zscore,0.041275686534809446,0.5596073961771842,0.11715481171501817,1.0,9.0
ETTh1,nlinear,96,first,drift,2024,diff_score,0.03865452383282434,0.6155805009874233,0.09661835748773466,0.6666666666666666,4.5
ETTh1,nlinear,96,first,drift,2024,rolling_zscore,0.06118503164606361,0.7508324104240365,0.12847965738727712,0.3333333333333333,8.0
ETTh1,nlinear,96,first,drift,2024,flatness,0.016600543095370922,0.2718837026762577,0.05239385727185503,0.0,
ETTh1,nlinear,96,first,drift,3407,residual,0.8019281259097043,0.9574423655195456,0.7631578947363452,1.0,5.5
ETTh1,nlinear,96,first,drift,3407,raw_zscore,0.019132518563354715,0.4011443367858336,0.04880952380947619,1.0,14.0
ETTh1,nlinear,96,first,drift,3407,diff_score,0.03266472444403663,0.5896675576344805,0.07357859531748911,0.5,36.0
ETTh1,nlinear,96,first,drift,3407,rolling_zscore,0.03946245513051985,0.6724782067247821,0.09187279151926014,0.0,
ETTh1,nlinear,96,first,drift,3407,flatness,0.018355454157602185,0.3818151444279076,0.05011539729635359,0.0,
ETTh1,nlinear,96,first,noise_burst,42,residual,0.8463527070965381,0.9660577463206382,0.8115942028980507,1.0,0.125
ETTh1,nlinear,96,first,noise_burst,42,raw_zscore,0.1927472343727127,0.6505965621840242,0.23529411764655894,1.0,1.125
ETTh1,nlinear,96,first,noise_burst,42,diff_score,0.7457960980889099,0.9539692169419167,0.7633587786254556,1.0,0.125
ETTh1,nlinear,96,first,noise_burst,42,rolling_zscore,0.14993925821459708,0.7514661274014155,0.28187919463037525,1.0,0.375
ETTh1,nlinear,96,first,noise_burst,42,flatness,0.010995945781091107,0.06574092798561959,0.04120633024779482,0.0,
ETTh1,nlinear,96,first,noise_burst,2024,residual,0.868530988596751,0.971712158808933,0.8527131782940772,1.0,0.125
ETTh1,nlinear,96,first,noise_burst,2024,raw_zscore,0.25280634341023783,0.6819656150301312,0.30952380952353176,1.0,0.375
ETTh1,nlinear,96,first,noise_burst,2024,diff_score,0.8431988127469033,0.9583259482453031,0.8188976377947809,1.0,0.125
ETTh1,nlinear,96,first,noise_burst,2024,rolling_zscore,0.14451688016585706,0.7302685218007798,0.25599999999950723,1.0,0.625
ETTh1,nlinear,96,first,noise_burst,2024,flatness,0.011215764999167072,0.08339684509039347,0.041766109785161966,0.0,
ETTh1,nlinear,96,first,noise_burst,3407,residual,0.8540020143919059,0.9692927938242126,0.7999999999995001,1.0,0.125
ETTh1,nlinear,96,first,noise_burst,3407,raw_zscore,0.3118257429559036,0.6576248732458866,0.3958333333330034,0.875,0.42857142857142855
ETTh1,nlinear,96,first,noise_burst,3407,diff_score,0.8492088291240215,0.9842211573059435,0.8275862068960528,1.0,0.25
ETTh1,nlinear,96,first,noise_burst,3407,rolling_zscore,0.16577321634593714,0.6865861437309869,0.3255813953483532,1.0,0.875
ETTh1,nlinear,96,first,noise_burst,3407,flatness,0.012122587230909324,0.0764920185796997,0.04541380340599087,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,42,residual,0.216382079466172,0.6972697802663609,0.3779527559050344,1.0,4.8
ETTh1,nlinear,96,first,stuck_with_jitter,42,raw_zscore,0.018095089170677228,0.3425995825747147,0.04828973843032164,0.2,0.0
ETTh1,nlinear,96,first,stuck_with_jitter,42,diff_score,0.019398975435883613,0.4198636303081438,0.04951768488741151,0.2,0.0
ETTh1,nlinear,96,first,stuck_with_jitter,42,rolling_zscore,0.0238178778765061,0.5261577092475445,0.05747126436773151,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,42,flatness,0.047375666972289183,0.604253377955585,0.1337579617830693,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,2024,residual,0.11280226666896545,0.7516569615510917,0.2303664921461414,0.75,4.0
ETTh1,nlinear,96,first,stuck_with_jitter,2024,raw_zscore,0.016033467410944025,0.4034290894458602,0.045265038713443326,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,2024,diff_score,0.01855693373112721,0.48307424760301376,0.04462072384723374,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,2024,rolling_zscore,0.014366282743226018,0.35135910161001616,0.04003639672425499,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,2024,flatness,0.043845087097701935,0.7110157301499938,0.11564625850304946,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,3407,residual,0.10825326012706094,0.6397228182766699,0.22885572139255772,0.75,3.0
ETTh1,nlinear,96,first,stuck_with_jitter,3407,raw_zscore,0.02114019174135711,0.4743311612890525,0.0536363636362944,0.25,0.0
ETTh1,nlinear,96,first,stuck_with_jitter,3407,diff_score,0.026968426801335627,0.5374529991928658,0.06418918918895791,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,3407,rolling_zscore,0.018317950142533648,0.3984093548831624,0.04689818937365559,0.0,
ETTh1,nlinear,96,first,stuck_with_jitter,3407,flatness,0.04864927277193767,0.7693249601354412,0.11991434689492009,0.0,
ETTh1,nlinear,96,mean,drift,42,residual,0.4260586429622131,0.8024171480693219,0.46258503401317047,1.0,18.333333333333332
ETTh1,nlinear,96,mean,drift,42,raw_zscore,0.10494572548451586,0.5001109759805412,0.17391304347776146,0.6666666666666666,8.0
ETTh1,nlinear,96,mean,drift,42,diff_score,0.035541587682846223,0.5632137427789601,0.07692307692280778,0.6666666666666666,21.5
ETTh1,nlinear,96,mean,drift,42,rolling_zscore,0.07743548977016365,0.790191547582852,0.16737588652457924,0.0,
ETTh1,nlinear,96,mean,drift,42,flatness,0.01921493793692388,0.2991000304043782,0.0583771161704045,0.0,
ETTh1,nlinear,96,mean,drift,2024,residual,0.33259483199389384,0.800563225352799,0.3999999999995418,1.0,18.666666666666668
ETTh1,nlinear,96,mean,drift,2024,raw_zscore,0.03951437056874978,0.5410653243941324,0.11428571428521431,0.6666666666666666,15.0
