dataset,model,input_type,horizon,seed,aggregation_method,anomaly_type,anomaly_ratio,magnitude_scale,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,validation_score_mean,validation_score_std,test_score_mean,test_score_std
ETTh1,nlinear,multivariate,24,42,mean,frozen,0.02,3.0,percentile,3.499530047999998,4,96,3216,73,0.04,0.05194805194805195,0.04519774011299435,0.028985507246376812,0.9710144927536232,3389,77,100,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,frozen,0.02,3.0,mean_std,3.4919718389135777,4,96,3216,73,0.04,0.05194805194805195,0.04519774011299435,0.028985507246376812,0.9710144927536232,3389,77,100,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,frozen,0.02,3.0,iqr,2.9606467,10,186,3126,67,0.05102040816326531,0.12987012987012986,0.07326007326007325,0.05615942028985507,0.9438405797101449,3389,77,196,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,frozen,0.02,3.0,mad,3.1106199538,10,154,3158,67,0.06097560975609756,0.12987012987012986,0.08298755186721991,0.0464975845410628,0.9535024154589372,3389,77,164,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,max,spike,0.02,3.0,percentile,5.787593368,69,23,3297,0,0.75,1.0,0.8571428571428571,0.0069277108433734936,0.9930722891566265,3389,69,92,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,spike,0.02,3.0,mean_std,5.719473153193604,69,24,3296,0,0.7419354838709677,1.0,0.8518518518518519,0.007228915662650603,0.9927710843373494,3389,69,93,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,spike,0.02,3.0,iqr,4.97172555,69,41,3279,0,0.6272727272727273,1.0,0.770949720670391,0.012349397590361445,0.9876506024096385,3389,69,110,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,spike,0.02,3.0,mad,5.3379420051899995,69,35,3285,0,0.6634615384615384,1.0,0.7976878612716763,0.010542168674698794,0.9894578313253012,3389,69,104,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,level_shift,0.02,3.0,percentile,5.787593368,77,23,3289,0,0.77,1.0,0.8700564971751412,0.006944444444444444,0.9930555555555556,3389,77,100,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,level_shift,0.02,3.0,mean_std,5.719473153193604,77,24,3288,0,0.7623762376237624,1.0,0.8651685393258427,0.007246376811594203,0.9927536231884058,3389,77,101,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,level_shift,0.02,3.0,iqr,4.97172555,77,41,3271,0,0.652542372881356,1.0,0.7897435897435898,0.012379227053140096,0.9876207729468599,3389,77,118,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,level_shift,0.02,3.0,mad,5.3379420051899995,77,35,3277,0,0.6875,1.0,0.8148148148148148,0.010567632850241546,0.9894323671497585,3389,77,112,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,frozen,0.02,3.0,percentile,5.787593368,0,23,3289,77,0.0,0.0,0.0,0.006944444444444444,0.9930555555555556,3389,77,23,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,frozen,0.02,3.0,mean_std,5.719473153193604,0,24,3288,77,0.0,0.0,0.0,0.007246376811594203,0.9927536231884058,3389,77,24,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,frozen,0.02,3.0,iqr,4.97172555,0,41,3271,77,0.0,0.0,0.0,0.012379227053140096,0.9876207729468599,3389,77,41,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,24,42,max,frozen,0.02,3.0,mad,5.3379420051899995,0,35,3277,77,0.0,0.0,0.0,0.010567632850241546,0.9894323671497585,3389,77,35,2.4755248743161093,1.0816449103889818,2.80887558852334,1.3474576368951423
ETTh1,nlinear,multivariate,96,42,first,spike,0.02,3.0,percentile,1.703343551,67,80,3147,0,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427,0.9752091726061357,3294,67,147,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,spike,0.02,3.0,mean_std,1.6226979206903085,67,90,3137,0,0.4267515923566879,1.0,0.5982142857142857,0.027889680818097305,0.9721103191819027,3294,67,157,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,spike,0.02,3.0,iqr,1.3658823575,67,152,3075,0,0.3059360730593607,1.0,0.4685314685314685,0.04710257204834211,0.9528974279516579,3294,67,219,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,spike,0.02,3.0,mad,1.4683949059890002,67,116,3111,0,0.366120218579235,1.0,0.536,0.03594669972110319,0.9640533002788968,3294,67,183,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,level_shift,0.02,3.0,percentile,1.703343551,77,78,3139,0,0.4967741935483871,1.0,0.6637931034482758,0.024246192104445136,0.9757538078955549,3294,77,155,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,level_shift,0.02,3.0,mean_std,1.6226979206903085,77,87,3130,0,0.4695121951219512,1.0,0.6390041493775933,0.027043829654958034,0.972956170345042,3294,77,164,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
