dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,num_true_events,num_detected_events,event_recall,mean_detection_delay,median_detection_delay,max_detection_delay
ETTh1,nlinear,24,first,level_shift,2024,hybrid_rankmax,iqr,1.404516029593095,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_or,iqr,,67,280,3019,0,0.1930835734870317,1.0,0.32367149758454106,0.08487420430433465,0.9151257956956653,3366,67,347,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,residual,mad,1.5722129060285002,67,112,3187,0,0.3743016759776536,1.0,0.5447154471544715,0.033949681721733856,0.9660503182782662,3366,67,179,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,flatness,mad,4.876898015025185,0,91,3208,67,0.0,0.0,0.0,0.02758411639890876,0.9724158836010912,3366,67,91,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_rankmax,mad,1.6084176633785456,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_or,mad,,67,200,3099,0,0.250936329588015,1.0,0.40119760479041916,0.06062443164595332,0.9393755683540467,3366,67,267,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,residual,percentile,1.7860218639999996,79,79,3208,0,0.5,1.0,0.6666666666666666,0.02403407362336477,0.9759659263766353,3366,79,158,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,flatness,percentile,790003.6009387329,0,26,3261,79,0.0,0.0,0.0,0.007909948281107393,0.9920900517188926,3366,79,26,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_rankmax,percentile,1.0,0,0,3287,79,0.0,0.0,0.0,0.0,1.0,3366,79,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_or,percentile,,79,103,3184,0,0.4340659340659341,1.0,0.6053639846743295,0.03133556434438698,0.968664435655613,3366,79,182,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,residual,mean_std,1.6956210557618947,79,90,3197,0,0.46745562130177515,1.0,0.6370967741935484,0.027380590203833283,0.9726194097961667,3366,79,169,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,flatness,mean_std,315997.1069870756,0,26,3261,79,0.0,0.0,0.0,0.007909948281107393,0.9920900517188926,3366,79,26,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_rankmax,mean_std,1.371334843858064,0,0,3287,79,0.0,0.0,0.0,0.0,1.0,3366,79,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_or,mean_std,,79,114,3173,0,0.40932642487046633,1.0,0.5808823529411764,0.03468208092485549,0.9653179190751445,3366,79,193,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,residual,iqr,1.4185841175,79,154,3133,0,0.33905579399141633,1.0,0.5064102564102565,0.04685123212655917,0.9531487678734408,3366,79,233,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,flatness,iqr,4.285812514580129,0,134,3153,79,0.0,0.0,0.0,0.04076665652570733,0.9592333434742927,3366,79,134,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_rankmax,iqr,1.404516029593095,0,0,3287,79,0.0,0.0,0.0,0.0,1.0,3366,79,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_or,iqr,,79,284,3003,0,0.21763085399449036,1.0,0.3574660633484163,0.08640097353209614,0.9135990264679039,3366,79,363,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,residual,mad,1.5722129060285002,79,110,3177,0,0.41798941798941797,1.0,0.5895522388059702,0.03346516580468512,0.9665348341953148,3366,79,189,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,3407,flatness,mad,4.876898015025185,0,94,3193,79,0.0,0.0,0.0,0.02859750532400365,0.9714024946759964,3366,79,94,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_rankmax,mad,1.6084176633785456,0,0,3287,79,0.0,0.0,0.0,0.0,1.0,3366,79,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,3407,hybrid_or,mad,,79,201,3086,0,0.28214285714285714,1.0,0.4401114206128134,0.061149984788561,0.938850015211439,3366,79,280,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,frozen,42,residual,percentile,1.7860218639999996,7,80,3209,70,0.08045977011494253,0.09090909090909091,0.08536585365853659,0.024323502584372148,0.9756764974156279,3366,77,87,5,3,0.6,7.333333333333333,8.0,9.0
ETTh1,nlinear,24,first,frozen,42,flatness,percentile,790003.6009387329,17,31,3258,60,0.3541666666666667,0.22077922077922077,0.27199999999999996,0.009425357251444208,0.9905746427485558,3366,77,48,5,5,1.0,12.0,12.0,12.0
ETTh1,nlinear,24,first,frozen,42,hybrid_rankmax,percentile,1.0,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,frozen,42,hybrid_or,percentile,,22,109,3180,55,0.16793893129770993,0.2857142857142857,0.21153846153846154,0.033140772271207056,0.966859227728793,3366,77,131,5,5,1.0,9.2,9.0,12.0
ETTh1,nlinear,24,first,frozen,42,residual,mean_std,1.6956210557618947,11,93,3196,66,0.10576923076923077,0.14285714285714285,0.12154696132596683,0.028276071754332624,0.9717239282456673,3366,77,104,5,5,1.0,9.4,9.0,15.0
ETTh1,nlinear,24,first,frozen,42,flatness,mean_std,315997.1069870756,17,31,3258,60,0.3541666666666667,0.22077922077922077,0.27199999999999996,0.009425357251444208,0.9905746427485558,3366,77,48,5,5,1.0,12.0,12.0,12.0
ETTh1,nlinear,24,first,frozen,42,hybrid_rankmax,mean_std,1.371334843858064,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,frozen,42,hybrid_or,mean_std,,24,122,3167,53,0.1643835616438356,0.3116883116883117,0.21524663677130043,0.03709334144116753,0.9629066585588325,3366,77,146,5,5,1.0,8.8,9.0,12.0
ETTh1,nlinear,24,first,frozen,42,residual,iqr,1.4185841175,23,156,3133,54,0.12849162011173185,0.2987012987012987,0.1796875,0.04743083003952569,0.9525691699604744,3366,77,179,5,5,1.0,8.0,9.0,14.0
ETTh1,nlinear,24,first,frozen,42,flatness,iqr,4.285812514580129,39,136,3153,38,0.22285714285714286,0.5064935064935064,0.30952380952380953,0.041349954393432656,0.9586500456065673,3366,77,175,5,5,1.0,7.6,9.0,11.0
ETTh1,nlinear,24,first,frozen,42,hybrid_rankmax,iqr,1.404516029593095,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,frozen,42,hybrid_or,iqr,,47,288,3001,30,0.14029850746268657,0.6103896103896104,0.22815533980582525,0.08756460930373974,0.9124353906962602,3366,77,335,5,5,1.0,5.0,5.0,10.0
ETTh1,nlinear,24,first,frozen,42,residual,mad,1.5722129060285002,18,113,3176,59,0.13740458015267176,0.23376623376623376,0.17307692307692307,0.034356947400425664,0.9656430525995744,3366,77,131,5,5,1.0,8.4,9.0,15.0
ETTh1,nlinear,24,first,frozen,42,flatness,mad,4.876898015025185,39,97,3192,38,0.2867647058823529,0.5064935064935064,0.3661971830985915,0.029492246883551232,0.9705077531164488,3366,77,136,5,5,1.0,7.6,9.0,11.0
ETTh1,nlinear,24,first,frozen,42,hybrid_rankmax,mad,1.6084176633785456,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,frozen,42,hybrid_or,mad,,45,207,3082,32,0.17857142857142858,0.5844155844155844,0.2735562310030395,0.06293706293706294,0.9370629370629371,3366,77,252,5,5,1.0,5.2,5.0,10.0
ETTh1,nlinear,24,first,frozen,2024,residual,percentile,1.7860218639999996,7,80,3219,60,0.08045977011494253,0.1044776119402985,0.09090909090909091,0.024249772658381328,0.9757502273416186,3366,67,87,4,3,0.75,12.666666666666666,12.0,16.0
ETTh1,nlinear,24,first,frozen,2024,flatness,percentile,790003.6009387329,19,30,3269,48,0.3877551020408163,0.2835820895522388,0.3275862068965517,0.009093664746892998,0.990906335253107,3366,67,49,4,4,1.0,12.0,12.0,12.0
