dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh1,96,transformer,level_shift,2024,2.236910104751587,2.7873467475947273,28.29899787902832,0.9995673804888603,0.9924812030070188,0.7706422018348624,1.0,0.6268656716417911,1.0,1.25
ETTh1,96,transformer,level_shift,3407,2.236910104751587,2.7873467475947273,28.29899787902832,0.999681541419644,0.9937106918233993,0.855072463768116,1.0,0.7468354430379747,1.0,4.25
ETTh1,96,transformer,frozen,42,2.236910104751587,2.7873467475947273,28.29899787902832,0.09138595964709104,0.20740740740691732,0.0,0.0,0.0,0.0,
ETTh1,96,transformer,frozen,2024,2.236910104751587,2.7873467475947273,28.29899787902832,0.030043843531840697,0.07199999999976793,0.0,0.0,0.0,0.0,
ETTh1,96,transformer,frozen,3407,2.236910104751587,2.7873467475947273,28.29899787902832,0.09265135581390124,0.18079096045148318,0.0,0.0,0.0,0.0,
ETTh2,24,naive,spike,42,4.896778583526611,6.461150049405872,18.420595169067383,1.0,0.9999999999995,0.6871794871794872,0.5234375,1.0,1.0,0.0
ETTh2,24,naive,spike,2024,4.896778583526611,6.461150049405872,18.420595169067383,1.0,0.9999999999995,0.6836734693877551,0.5193798449612403,1.0,1.0,0.0
ETTh2,24,naive,spike,3407,4.896778583526611,6.461150049405872,18.420595169067383,0.9999999999999998,0.9999999999995,0.686868686868687,0.5230769230769231,1.0,1.0,0.0
ETTh2,24,naive,level_shift,42,4.896778583526611,6.461150049405872,18.420595169067383,1.0,0.9999999999995,0.7162790697674419,0.5579710144927537,1.0,1.0,0.0
ETTh2,24,naive,level_shift,2024,4.896778583526611,6.461150049405872,18.420595169067383,1.0000000000000002,0.9999999999995,0.6836734693877551,0.5193798449612403,1.0,1.0,0.0
ETTh2,24,naive,level_shift,3407,4.896778583526611,6.461150049405872,18.420595169067383,1.0,0.9999999999995,0.7281105990783411,0.572463768115942,1.0,1.0,0.0
ETTh2,24,naive,frozen,42,4.896778583526611,6.461150049405872,18.420595169067383,0.3646164867540648,0.4672897196257647,0.3272727272727272,0.3068181818181818,0.35064935064935066,0.8,8.5
ETTh2,24,naive,frozen,2024,4.896778583526611,6.461150049405872,18.420595169067383,0.1436709231224618,0.20512820512796287,0.14388489208633093,0.1388888888888889,0.14925373134328357,0.5,13.5
ETTh2,24,naive,frozen,3407,4.896778583526611,6.461150049405872,18.420595169067383,0.5840967200969093,0.6393442622946255,0.4918032786885245,0.4326923076923077,0.569620253164557,1.0,6.25
ETTh2,24,linear,spike,42,2.861802816390991,3.9692864243239936,10.765467643737791,1.0000000000000002,0.9999999999995,0.6836734693877551,0.5193798449612403,1.0,1.0,0.0
ETTh2,24,linear,spike,2024,2.861802816390991,3.9692864243239936,10.765467643737791,1.0000000000000002,0.9999999999995,0.67,0.5037593984962406,1.0,1.0,0.0
ETTh2,24,linear,spike,3407,2.861802816390991,3.9692864243239936,10.765467643737791,0.9999999999999998,0.9999999999995,0.6766169154228856,0.5112781954887218,1.0,1.0,0.0
ETTh2,24,linear,level_shift,42,2.861802816390991,3.9692864243239936,10.765467643737791,1.0,0.9999999999995,0.6968325791855203,0.5347222222222222,1.0,1.0,0.0
ETTh2,24,linear,level_shift,2024,2.861802816390991,3.9692864243239936,10.765467643737791,1.0000000000000002,0.9999999999995,0.6666666666666666,0.5,1.0,1.0,0.0
ETTh2,24,linear,level_shift,3407,2.861802816390991,3.9692864243239936,10.765467643737791,0.9999999999999998,0.9999999999995,0.7117117117117117,0.5524475524475524,1.0,1.0,0.0
