dataset,model,horizon,aggregation_method,anomaly_type,magnitude_scale,injection_seed,detector_type,threshold_method,precision,recall,f1,false_positive_rate
ETTh1,nlinear,96,first,level_shift,1.0,42,raw_zscore,percentile,0.013555787278415016,0.16883116883116883,0.0250965250965251,0.2940627914205782
ETTh1,nlinear,96,first,level_shift,1.0,42,diff_score,percentile,0.08433734939759036,0.09090909090909091,0.0875,0.023624494870997825
ETTh1,nlinear,96,first,level_shift,1.0,42,rolling_zscore,percentile,0.07692307692307693,0.03896103896103896,0.05172413793103448,0.011190550202051602
ETTh1,nlinear,96,first,level_shift,1.0,2024,residual,percentile,0.4482758620689655,0.9701492537313433,0.6132075471698113,0.02479082739386427
ETTh1,nlinear,96,first,level_shift,1.0,2024,raw_zscore,percentile,0.018480492813141684,0.26865671641791045,0.034582132564841495,0.296250387356678
ETTh1,nlinear,96,first,level_shift,1.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.02386117136659436
ETTh1,nlinear,96,first,level_shift,1.0,2024,rolling_zscore,percentile,0.02857142857142857,0.014925373134328358,0.0196078431372549,0.010536101642392316
ETTh1,nlinear,96,first,level_shift,1.0,3407,residual,percentile,0.4968553459119497,1.0,0.6638655462184874,0.024883359253499222
ETTh1,nlinear,96,first,level_shift,1.0,3407,raw_zscore,percentile,0.041237113402061855,0.5063291139240507,0.07626310772163966,0.2892690513219285
ETTh1,nlinear,96,first,level_shift,1.0,3407,diff_score,percentile,0.06097560975609756,0.06329113924050633,0.06211180124223603,0.023950233281493
ETTh1,nlinear,96,first,level_shift,1.0,3407,rolling_zscore,percentile,0.05405405405405406,0.02531645569620253,0.034482758620689655,0.01088646967340591
ETTh1,nlinear,96,first,level_shift,2.0,42,residual,percentile,0.4967741935483871,1.0,0.6637931034482758,0.024246192104445136
ETTh1,nlinear,96,first,level_shift,2.0,42,raw_zscore,percentile,0.022727272727272728,0.2857142857142857,0.042105263157894736,0.2940627914205782
ETTh1,nlinear,96,first,level_shift,2.0,42,diff_score,percentile,0.08433734939759036,0.09090909090909091,0.0875,0.023624494870997825
ETTh1,nlinear,96,first,level_shift,2.0,42,rolling_zscore,percentile,0.10256410256410256,0.05194805194805195,0.06896551724137932,0.010879701585327946
ETTh1,nlinear,96,first,level_shift,2.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,level_shift,2.0,2024,raw_zscore,percentile,0.035317860746720484,0.5223880597014925,0.0661625708884688,0.296250387356678
ETTh1,nlinear,96,first,level_shift,2.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.02386117136659436
ETTh1,nlinear,96,first,level_shift,2.0,2024,rolling_zscore,percentile,0.10526315789473684,0.05970149253731343,0.07619047619047618,0.010536101642392316
ETTh1,nlinear,96,first,level_shift,2.0,3407,residual,percentile,0.4968553459119497,1.0,0.6638655462184874,0.024883359253499222
ETTh1,nlinear,96,first,level_shift,2.0,3407,raw_zscore,percentile,0.05965621840242669,0.7468354430379747,0.11048689138576778,0.2892690513219285
ETTh1,nlinear,96,first,level_shift,2.0,3407,diff_score,percentile,0.06097560975609756,0.06329113924050633,0.06211180124223603,0.023950233281493
ETTh1,nlinear,96,first,level_shift,2.0,3407,rolling_zscore,percentile,0.10256410256410256,0.05063291139240506,0.06779661016949153,0.01088646967340591
ETTh1,nlinear,96,first,level_shift,3.0,42,residual,percentile,0.4967741935483871,1.0,0.6637931034482758,0.024246192104445136
ETTh1,nlinear,96,first,level_shift,3.0,42,raw_zscore,percentile,0.05776892430278884,0.7532467532467533,0.10730804810360778,0.2940627914205782
ETTh1,nlinear,96,first,level_shift,3.0,42,diff_score,percentile,0.08433734939759036,0.09090909090909091,0.0875,0.023624494870997825
ETTh1,nlinear,96,first,level_shift,3.0,42,rolling_zscore,percentile,0.18604651162790697,0.1038961038961039,0.1333333333333333,0.010879701585327946
ETTh1,nlinear,96,first,level_shift,3.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,level_shift,3.0,2024,raw_zscore,percentile,0.04875621890547264,0.7313432835820896,0.0914179104477612,0.296250387356678
ETTh1,nlinear,96,first,level_shift,3.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.02386117136659436
ETTh1,nlinear,96,first,level_shift,3.0,2024,rolling_zscore,percentile,0.17073170731707318,0.1044776119402985,0.12962962962962962,0.010536101642392316
ETTh1,nlinear,96,first,level_shift,3.0,3407,residual,percentile,0.4968553459119497,1.0,0.6638655462184874,0.024883359253499222
ETTh1,nlinear,96,first,level_shift,3.0,3407,raw_zscore,percentile,0.07462686567164178,0.9493670886075949,0.13837638376383762,0.2892690513219285
ETTh1,nlinear,96,first,level_shift,3.0,3407,diff_score,percentile,0.06097560975609756,0.06329113924050633,0.06211180124223603,0.023950233281493
ETTh1,nlinear,96,first,level_shift,3.0,3407,rolling_zscore,percentile,0.14634146341463414,0.0759493670886076,0.1,0.01088646967340591
ETTh1,nlinear,96,first,level_shift,5.0,42,residual,percentile,0.4967741935483871,1.0,0.6637931034482758,0.024246192104445136
ETTh1,nlinear,96,first,level_shift,5.0,42,raw_zscore,percentile,0.07526881720430108,1.0,0.14,0.2940627914205782
ETTh1,nlinear,96,first,level_shift,5.0,42,diff_score,percentile,0.08433734939759036,0.09090909090909091,0.0875,0.023624494870997825
ETTh1,nlinear,96,first,level_shift,5.0,42,rolling_zscore,percentile,0.2222222222222222,0.12987012987012986,0.16393442622950818,0.010879701585327946
ETTh1,nlinear,96,first,level_shift,5.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,level_shift,5.0,2024,raw_zscore,percentile,0.06549364613880743,1.0,0.12293577981651377,0.296250387356678
ETTh1,nlinear,96,first,level_shift,5.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.02386117136659436
ETTh1,nlinear,96,first,level_shift,5.0,2024,rolling_zscore,percentile,0.18181818181818182,0.11940298507462686,0.14414414414414414,0.011155872327238922
ETTh1,nlinear,96,first,level_shift,5.0,3407,residual,percentile,0.4968553459119497,1.0,0.6638655462184874,0.024883359253499222
ETTh1,nlinear,96,first,level_shift,5.0,3407,raw_zscore,percentile,0.07829534192269574,1.0,0.14522058823529413,0.2892690513219285
ETTh1,nlinear,96,first,level_shift,5.0,3407,diff_score,percentile,0.06097560975609756,0.06329113924050633,0.06211180124223603,0.023950233281493
ETTh1,nlinear,96,first,level_shift,5.0,3407,rolling_zscore,percentile,0.18604651162790697,0.10126582278481013,0.13114754098360656,0.01088646967340591
ETTh2,nlinear,24,first,spike,1.0,42,residual,percentile,0.5114503816793893,1.0,0.6767676767676767,0.019399818126705062
ETTh2,nlinear,24,first,spike,1.0,42,raw_zscore,percentile,0.0183585313174946,0.5074626865671642,0.035435122459614374,0.5510760836617157
ETTh2,nlinear,24,first,spike,1.0,42,diff_score,percentile,0.2619047619047619,0.4925373134328358,0.34196891191709844,0.028190360715368293
ETTh2,nlinear,24,first,spike,1.0,42,rolling_zscore,percentile,0.25,0.19402985074626866,0.2184873949579832,0.011821764170960897
ETTh2,nlinear,24,first,spike,1.0,2024,residual,percentile,0.5037593984962406,1.0,0.67,0.020006062443164597
ETTh2,nlinear,24,first,spike,1.0,2024,raw_zscore,percentile,0.016120365394948953,0.44776119402985076,0.031120331950207473,0.5550166717187026
